personTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/personTypeCode,0,1
placeBirth,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/placeBirth,0,1
sNILS,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/sNILS,0,1
children,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/children,0,1
idGender,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/idGender,0,1
genderCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/genderCode,0,1
idEducation,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/idEducation,0,1
educationCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/educationCode,0,1
idFamilySt,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/idFamilySt,0,1
familyStCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subPerson/resultSetRow/familyStCode,0,1
subCompany,UWSConsumerSubjectInfoGetGetSubCompanyOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetSubCompanyOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow,0,unbounded
externalRels,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/externalRels,0,1
oGRNDate,WSTypeDate,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oGRNDate,0,1
regChamberDate,WSTypeDate,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/regChamberDate,0,1
idChartCapCur,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idChartCapCur,0,1
chartCapCurCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/chartCapCurCode,0,1
idCompany,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idCompany,0,1
idCompanyType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idCompanyType,0,1
companyTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/companyTypeCode,0,1
idOKOPF,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idOKOPF,0,1
oKOPFCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oKOPFCode,0,1
kPP,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/kPP,0,1
kPP2,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/kPP2,0,1
regAuthName,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/regAuthName,0,1
oGRN,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oGRN,0,1
oKATO,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oKATO,0,1
oKOGU,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oKOGU,0,1
oKPO,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oKPO,0,1
regPlace,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/regPlace,0,1
iAuthCap,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/iAuthCap,0,1
idCompanySt,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idCompanySt,0,1
companyStCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/companyStCode,0,1
idOKATOReg,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idOKATOReg,0,1
oKATORegCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/oKATORegCode,0,1
idTaxationSystem,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idTaxationSystem,0,1
taxationSystemCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/taxationSystemCode,0,1
employeesNumber,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/employeesNumber,0,1
inceptionDate,WSTypeDate,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/inceptionDate,0,1
idSubordinationType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/idSubordinationType,0,1
subordinationTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subCompany/resultSetRow/subordinationTypeCode,0,1
subBank,UWSConsumerSubjectInfoGetGetSubBankOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetSubBankOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow,0,unbounded
bIK,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/bIK,0,1
corrAccount,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/corrAccount,0,1
sWIFTClearCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/sWIFTClearCode,0,1
sWIFTBIC,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/sWIFTBIC,0,1
isAlfaBank,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/isAlfaBank,0,1
idBank,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subBank/resultSetRow/idBank,0,1
subGroup,UWSConsumerSubjectInfoGetGetSubGroupOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetSubGroupOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow,0,unbounded
idGroupType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/idGroupType,0,1
groupTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/groupTypeCode,0,1
idGroup,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/idGroup,0,1
desc,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/desc,0,1
objectAttributes,UWSConsumerSubjectInfoGetObjectAttributesOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/objectAttributes,0,1
resultSetRow,UWSConsumerSubjectInfoGetObjectAttributesOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/objectAttributes/resultSetRow,0,unbounded
idrlObjectAttribute,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/objectAttributes/resultSetRow/idrlObjectAttribute,0,1
objectAttributeTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/objectAttributes/resultSetRow/objectAttributeTypeCode,0,1
objectAttributeValue,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subGroup/resultSetRow/objectAttributes/resultSetRow/objectAttributeValue,0,1
subNameList,UWSConsumerSubjectInfoGetGetSubNameListOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetSubNameListOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow,0,unbounded
name,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/name,0,1
idSub,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/idSub,0,1
idSubName,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/idSubName,0,1
idSubNameType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/idSubNameType,0,1
subNameTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/subNameTypeCode,0,1
isActual,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subNameList/resultSetRow/isActual,0,1
subOKVEDList,UWSConsumerSubjectInfoGetGetSubOKVEDListOutResultSet,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList,0,1
resultSetRow,UWSConsumerSubjectInfoGetGetSubOKVEDListOutResultSetRow,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow,0,unbounded
main,WSTypeChar1,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/main,0,1
idOKVED,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/idOKVED,0,1
oKVEDCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/oKVEDCode,0,1
idOKVEDType,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/idOKVEDType,0,1
oKVEDTypeCode,WSTypeChar255,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/oKVEDTypeCode,0,1
idSubOKVED,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/idSubOKVED,0,1
idSub,WSTypeDecimal120,/UWSConsumerSubjectInfoGetGetGoldRecOutParms/subList/resultSetRow/subOKVEDList/resultSetRow/idSub,0,1
